src_port,dst_port,packet_size,duration_ms,protocol,Prediction,Score
9999,142,5000,1090,TCP,-1,-0.11144328640333301
9999,511,0,2025,UDP,-1,-0.021399581453677596
1337,970,10,4434,UDP,-1,-0.05205580526352127
9999,489,5000,2104,UDP,-1,-0.08854409513755424
6666,605,5000,1195,TCP,-1,-0.08575687784039354
1337,519,5000,2991,UDP,-1,-0.08692532941188569
1337,859,5000,2687,UDP,-1,-0.09005311365777635
1337,42,0,3032,UDP,-1,-0.03375659986874757
1337,652,5000,4258,TCP,-1,-0.11832095198871673
1337,530,5000,4851,TCP,-1,-0.13690127838776112
1337,228,5000,2175,TCP,-1,-0.10282249804450383
1337,81,10,3751,TCP,-1,-0.07811243535945878
9999,937,10,4779,UDP,-1,-0.08751742393158102
9999,87,5000,4452,UDP,-1,-0.12699583524291114
6666,875,5000,4883,UDP,-1,-0.13645939037965982
6666,47,10,2419,UDP,-1,-0.02295878971305787
6666,151,5000,1543,UDP,-1,-0.0851328242848175
1337,57,5000,2443,UDP,-1,-0.09564342726807218
9999,421,0,4975,UDP,-1,-0.08359890341738885
9999,513,0,2542,UDP,-1,-0.028276804853108684
6666,766,5000,2578,UDP,-1,-0.0802214235381924
1337,716,5000,3867,TCP,-1,-0.11596504099874572
9999,919,10,1830,TCP,-1,-0.04623635698814277
9999,80,5000,2455,UDP,-1,-0.10055929592128576
6666,915,5000,4784,TCP,-1,-0.1379716713002308
9999,943,0,3250,TCP,-1,-0.058616827146574124
1337,964,0,3646,UDP,-1,-0.03258281484225922
9999,676,5000,3532,TCP,-1,-0.1102740544559827
1337,102,10,3230,UDP,-1,-0.036936770448731115
9999,424,5000,2532,UDP,-1,-0.08990097080317261
1337,724,5000,2284,UDP,-1,-0.08329465671250902
9999,959,10,4802,TCP,-1,-0.10321787646511837
9999,911,5000,3039,TCP,-1,-0.11046759328820133
9999,749,0,1382,UDP,-1,-0.02251576383873688
9999,723,0,2723,TCP,-1,-0.049264102241268204
9999,838,0,4056,UDP,-1,-0.05929367700252597
6666,113,10,4024,UDP,-1,-0.055522214946654436
6666,224,5000,3421,UDP,-1,-0.08516426887355777
6666,828,10,3020,TCP,-1,-0.029716722224879644
9999,869,0,4471,UDP,-1,-0.06478423154756807
1337,629,5000,3499,UDP,-1,-0.09286598245265176
1337,220,5000,1723,UDP,-1,-0.08032536541983082
1337,199,5000,3353,TCP,-1,-0.11361708642885104
9999,900,0,1609,TCP,-1,-0.04735643261622058
8080,63681,970,73,TCP,-1,-0.003696947029673381
9999,524,10,4501,UDP,-1,-0.06008816484232926
6666,356,5000,3255,TCP,-1,-0.09456599155304213
1337,806,0,4839,UDP,-1,-0.05583783201381365
6666,342,5000,2304,TCP,-1,-0.0872663182635578
9999,585,10,2573,TCP,-1,-0.04881604296335906
6666,541,0,2330,TCP,-1,-0.018071072092547436
6666,1000,0,2183,TCP,-1,-0.027914223784086145
6666,856,10,3213,TCP,-1,-0.0362268155551414
6666,370,5000,3612,TCP,-1,-0.09914052297695042
6666,312,0,1904,TCP,-1,-0.028140088282531117
1337,550,0,2487,TCP,-1,-0.051463561254050605
1337,1008,0,4414,UDP,-1,-0.048523892569098837
9999,176,5000,4769,TCP,-1,-0.14823518818321757
1337,452,10,3419,TCP,-1,-0.061480450908439566
1337,433,5000,2761,UDP,-1,-0.08074140862153578
1337,582,10,4989,UDP,-1,-0.06159050263807664
6666,953,10,1845,UDP,-1,-0.009891063404301237
9999,197,5000,2407,UDP,-1,-0.09323958923062203
6666,180,5000,4749,TCP,-1,-0.1311102091825248
6666,535,10,4769,TCP,-1,-0.07873968527604325
6666,604,5000,3746,UDP,-1,-0.09317209458263875
6666,118,0,3612,TCP,-1,-0.055479707504813125
6666,343,10,3495,UDP,-1,-0.03315177494534971
1337,388,5000,3713,UDP,-1,-0.09765827813514338
6666,113,5000,2652,TCP,-1,-0.09817791403894449
9999,138,10,3794,UDP,-1,-0.0646328864064517
9999,684,10,3240,UDP,-1,-0.042483187497863395
1337,294,10,4382,UDP,-1,-0.054375067967097235
9999,178,5000,1499,UDP,-1,-0.09918080836580112
6666,645,0,3125,UDP,-1,-0.023395451320190164
1337,670,10,2413,UDP,-1,-0.005825960334243874
9999,50,0,2640,UDP,-1,-0.04833634121054731
9999,464,5000,4846,UDP,-1,-0.13371750471786703
9999,484,0,4486,UDP,-1,-0.05855889478147369
1337,782,10,2565,TCP,-1,-0.04918846939554733
1337,652,0,4631,UDP,-1,-0.0496989700453101
1337,84,0,1574,UDP,-1,-0.0012332929840032092
1337,109,0,2635,UDP,-1,-0.01849119137290367
1337,948,5000,3588,TCP,-1,-0.12363071887740429
1337,652,10,2103,TCP,-1,-0.04475076126960387
8080,64981,267,485,UDP,-1,-0.01593986183104079
1337,989,10,2512,UDP,-1,-0.01515468236967532
9999,650,5000,3293,TCP,-1,-0.105720559491155
1337,686,5000,4002,UDP,-1,-0.09706617915767346
6666,707,0,1464,UDP,-1,-0.003706877117859997
9999,1019,0,4642,TCP,-1,-0.1010084208205766
6666,441,0,3253,TCP,-1,-0.03502442988655152
9999,654,10,4689,TCP,-1,-0.09557389661865312
6666,589,10,2542,UDP,-1,-0.004319221882607915
9999,907,10,2150,TCP,-1,-0.04714486998854528
1337,814,0,2316,UDP,-1,-0.002965893662436603
6666,721,10,3241,TCP,-1,-0.03261180737580616
9999,717,5000,3170,TCP,-1,-0.10720865359260368
6666,641,10,4214,UDP,-1,-0.044278809249093665
6666,93,5000,1533,UDP,-1,-0.08603248285000054
